date,Conv. Rate,Campaign ID,Campaign name,Campaign Type,Bid strategy,Adgroup name,Adgroup ID,Ad ID,Ad name,Ad type,Final URL,Mobile final URL,Final URL suffix,Device preference,Tracking template,Ad strength,Custom parameter,Video,Campaign group,Ad image URL,Impressions,Clicks,Avg. CPC,CTR,All conv.,Cost / all conv.,All conv. Rate,All conv. Value,Conversions,Conv. Value,Cost / conv.,Views,Avg. CPV,View rate,Cost
12/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,10063,66,$0.26,0.66%,0,,0,0,0,0,,139,$0.12,1.38%,$16.98
15/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://media.istockphoto.com/id/117247268/photo/growth-chart.jpg?s=612x612&w=0&k=20&c=DokCI-1Ury3g02MwsRY_4NLX6ytKCL7zdXviJD2rVxo=,9500,55,$0.39,0.58%,1,$21.63,0.19%,0,0,0,,211,$0.1,2.22%,$21.63
13/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn1.vectorstock.com/i/1000x1000/37/50/chart-vector-113750.jpg,6822,63,$0.26,0.92%,0,,0,0,0,0,,90,$0.18,1.32%,$16.45
26/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,5823,8,$0.64,0.14%,0,,0,0,0,0,,74,$0.07,1.27%,$5.09
18/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://img.freepik.com/free-vector/business-share-market-growth-green-arrow-background_1017-37130.jpg,5529,39,$0.53,0.71%,0,,0,0,0,0,,374,$0.06,6.76%,$20.85
13/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvOgI9PeKxCsuwuQenBWXYV4LOwXCUSM_JH7QW7cS2Gg&s,4682,38,$0.25,0.81%,0,,0,0,0,0,,49,$0.19,1.05%,$9.54
17/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.shutterstock.com/image-vector/blue-gradient-slim-chart-bars-600nw-2303981985.jpg,4144,27,$0.67,0.65%,0,,0,0,0,0,,469,$0.04,11.32%,$18.12
14/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://img.freepik.com/free-vector/set-elements-chart-infographics-graphs-diagrams-chart-color_90220-326.jpg?size=338&ext=jpg&ga=GA1.1.1448711260.1706745600&semt=sph,4047,62,$0.28,1.53%,0,,0,0,0,0,,83,$0.21,2.05%,$17.65
25/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://media.gettyimages.com/id/1398319735/vector/charts-abstract-background.jpg?s=612x612&w=gi&k=20&c=dqivI_mSwMjqnolzytxPpx-5BpDpliHM6rlnWdTYGcY=,4009,65,$0.34,1.62%,0,,0,0,0,0,,686,$0.03,17.11%,$22.36
22/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.imf.org/wp-content/uploads/2017/08/BLOG-1024x600-image-of-charts-TOP5Charts-iStock-615507200.jpg,3918,66,$0.34,1.68%,0,,0,0,0,0,,519,$0.04,13.25%,$22.17
28/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://images.unsplash.com/photo-1634117622592-114e3024ff27?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8Y2hhcnR8ZW58MHx8MHx8fDA%3D,3877,77,$0.26,1.99%,0,,0,0,0,0,,64,$0.32,1.65%,$20.29
26/11/2023,4.65%,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.imf.org/wp-content/uploads/2017/08/BLOG-1024x600-image-of-charts-TOP5Charts-iStock-615507200.jpg,3838,43,$0.45,1.12%,2,$9.63,0.28%,0,2,0,$9.63,330,$0.06,8.60%,$19.26
24/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.w3schools.com/excel/img_excel_chart_intro_1.svg,3611,67,$0.33,1.86%,0,,0,0,0,0,,777,$0.03,21.52%,$22.33
16/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://assets-us-01.kc-usercontent.com/cddce937-cf5a-003a-bfad-78b8fc29ea3f/d339008c-bcfd-45bb-8292-d05899d536db/combination%20chart.png,3569,18,$0.93,0.50%,0,,0,0,0,0,,368,$0.05,10.31%,$16.77
04/12/2023,,19709051514,Display - US,DISPLAY,MAXIMIZE_CONVERSIONS,Ecommerce,1.55448E+11,6.80634E+11,,19,https://www.polymersearch.com/landers/7-reasons-why-ecommerce-business-owners-marketers-are-switching-to-polymer,,,0,,5,,,,https://www.spotfire.com/content/dam/spotfire/images/graphics/inforgraphics/PieChart-01.svg,3479,13,$0.41,0.37%,0,,0,0,0,0,,0,,,$5.32
23/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.imf.org/wp-content/uploads/2017/08/BLOG-1024x600-image-of-charts-TOP5Charts-iStock-615507200.jpg,3044,62,$0.35,2.04%,0,,0,0,0,0,,648,$0.03,21.29%,$21.4
27/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://www.amcharts.com/wp-content/uploads/2013/12/demo_7395_none-6-1024x690.png,2978,70,$0.29,2.35%,0,,0,0,0,0,,122,$0.17,4.10%,$20.49
12/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTJZG7uTeujKdBbwZ6dQhxAVOT2tjOqdVGOg&usqp=CAU,2898,40,$0.23,1.38%,0,,0,0,0,0,,34,$0.27,1.17%,$9.2
18/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJzVJ304BG6dLQNSF5BrtpM991qw0PtG0JXw&usqp=CAU,2853,14,$0.34,0.49%,0,,0,0,0,0,,94,$0.05,3.29%,$4.73
27/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPA2xaddOxthRKQNnK_YqJ7dP1MqnBXhb3Vg&usqp=CAU,2682,9,$0.43,0.34%,0,,0,0,0,0,,30,$0.13,1.12%,$3.89
21/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR62hedqi1aA9KWfFlpBJRo5uwgQx23dk_qbQ&usqp=CAU,2475,34,$0.62,1.37%,0,,0,0,0,0,,274,$0.08,11.07%,$21.17
19/11/2023,3.85%,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/99049c3f-df7b-4a52-86ed-d9fe2768d0c3/1-multi-series-bar-chart-large-opt.png,2380,26,$0.81,1.09%,1,$21.15,0.16%,0,1,0,$21.15,260,$0.08,10.92%,$21.15
11/12/2023,,19709051514,Display - US,DISPLAY,MAXIMIZE_CONVERSIONS,Ecommerce - Keywords Only,1.58709E+11,6.81862E+11,,19,https://www.polymersearch.com/landers/7-reasons-why-ecommerce-business-owners-marketers-are-switching-to-polymer,,,0,,5,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,2308,16,$0.35,0.69%,2,$2.79,12.50%,0,0,0,,0,,,$5.58
30/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,2303,78,$0.25,3.39%,0,,0,0,0,0,,174,$0.11,7.56%,$19.33
28/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,2127,21,$0.17,0.99%,0,,0,0,0,0,,21,$0.17,0.99%,$3.63
29/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79136E+11,v3-video-teaser,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,2109,73,$0.3,3.46%,0,,0,0,0,0,,143,$0.15,6.78%,$21.77
14/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,1978,34,$0.24,1.72%,0,,0,0,0,0,,17,$0.48,0.86%,$8.2
15/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,1847,7,$0.6,0.38%,0,,0,0,0,0,,28,$0.15,1.52%,$4.23
30/11/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,https://cdn.pixabay.com/photo/2015/04/23/22/00/tree-736885_1280.jpg,1786,17,$0.15,0.95%,0,,0,0,0,0,,19,$0.14,1.06%,$2.57
